track_id,track_name,track_preview,album_id,,
7zEnKQaNBcuOSsUZdRnPZM,Nightingale,,3ArSFkv4OQOosOvYTrZNIl,,
2V473qE28Ky0ixp2qc7dgz,The Long Day Is Over,,3ArSFkv4OQOosOvYTrZNIl,,
3HuLpW8NmFFO5GKY8andY2,The Nearness Of You,,3ArSFkv4OQOosOvYTrZNIl,,
24mo3C5GuVTfoL8vedPMqL,Spring Can Really Hang You Up The Most - Demo,,3ArSFkv4OQOosOvYTrZNIl,,
4k4gWXYWlEgSQUacnOsVOo,Walkin' My Baby Back Home - Demo,,3ArSFkv4OQOosOvYTrZNIl,,
25BcIcGR7MaOEJ13hqJ5gV,World Of Trouble - Demo,,3ArSFkv4OQOosOvYTrZNIl,,
2is3oJ3XSRa4wUbZjthnRe,The Only Time - First Sessions Outtake,,3ArSFkv4OQOosOvYTrZNIl,,
4whxuTsTgkAaFWBTcR7iQX,I Didn't Know About You - First Sessions Outtake,,3ArSFkv4OQOosOvYTrZNIl,,
5H76bh5K4OFk5E1tlsXKP8,Something Is Calling You - First Sessions Outtake / Tabla Version,,3ArSFkv4OQOosOvYTrZNIl,,
37cRAssY5trDl9j1l6A56n,Just Like A Dream Today - First Sessions Outtake,,3ArSFkv4OQOosOvYTrZNIl,,
63PCpl3dCvQHrybBpciWZ0,When Sunny Gets Blue - First Sessions Outtake,,3ArSFkv4OQOosOvYTrZNIl,,
15DYTTO3n6aKf6ptpIcCAR,What Am I To You - First Sessions Outtake,,3ArSFkv4OQOosOvYTrZNIl,,
1QLBKel4BFnZIk6VTQiiqY,"Hallelujah, I Love Him So - First Sessions Outtake",,3ArSFkv4OQOosOvYTrZNIl,,
6FgVde4fAxfYuE4pTI5FJ7,Day Dream - First Sessions Outtake,,3ArSFkv4OQOosOvYTrZNIl,,
7wcMDBp3SwDFqA2ypsZOql,Don't Know Why - First Sessions Demo,,3ArSFkv4OQOosOvYTrZNIl,,
6wbvuaX310tEGa5YnDfvrZ,Come Away With Me - First Sessions Demo,,3ArSFkv4OQOosOvYTrZNIl,,
